,time,price,change,volume,amount,type
0,09:25:04,76.73,0.01,4092,31397916,买盘
1,09:30:02,76.73,0.0,468,3598148,买盘
2,09:30:05,76.75,0.02,822,6310450,卖盘
3,09:30:08,76.74,-0.01,199,1527242,中性盘
4,09:30:10,76.73,-0.01,320,2455500,卖盘
5,09:30:14,76.75,0.02,152,1166362,中性盘
6,09:30:17,76.73,-0.02,250,1918352,卖盘
7,09:30:19,76.74,0.01,176,1350578,中性盘
8,09:30:23,76.76,0.02,108,829005,中性盘
9,09:30:26,76.76,0.0,36,276331,卖盘
10,09:30:29,76.77,0.01,174,1335552,买盘
11,09:30:32,76.8,0.03,234,1796228,买盘
12,09:30:35,76.79,-0.01,14,107515,卖盘
13,09:30:38,76.8,0.01,95,729517,卖盘
14,09:30:41,76.78,-0.02,82,629686,卖盘
15,09:30:44,76.8,0.02,106,813961,买盘
16,09:30:47,76.79,-0.01,172,1320858,卖盘
17,09:30:50,76.78,-0.01,71,545219,卖盘
18,09:30:53,76.77,-0.01,124,951969,卖盘
19,09:30:54,76.78,0.01,122,936750,中性盘
20,09:30:57,76.77,-0.01,151,1159149,卖盘
21,09:31:02,76.77,0.0,78,598740,买盘
22,09:31:05,76.73,-0.04,225,1726795,卖盘
23,09:31:08,76.77,0.04,346,2655126,买盘
24,09:31:11,76.75,-0.02,681,5224340,卖盘
25,09:31:14,76.71,-0.04,290,2225170,卖盘
26,09:31:15,76.65,-0.06,194,1487857,卖盘
27,09:31:20,76.64,-0.01,45,344943,卖盘
28,09:31:23,76.68,0.04,48,367811,买盘
29,09:31:24,76.61,-0.07,89,682012,卖盘
30,09:31:29,76.63,0.02,25,191547,买盘
31,09:31:30,76.68,0.05,352,2697592,买盘
32,09:31:35,76.63,-0.05,245,1878482,卖盘
33,09:31:38,76.63,0.0,36,275837,买盘
34,09:31:41,76.62,-0.01,43,329443,中性盘
35,09:31:44,76.61,-0.01,280,2145968,卖盘
36,09:31:47,76.7,0.09,314,2406661,买盘
37,09:31:49,76.58,-0.12,476,3649732,卖盘
38,09:31:53,76.58,0.0,100,765835,买盘
39,09:31:54,76.7,0.12,149,1142352,买盘
40,09:31:59,76.7,0.0,98,751670,卖盘
41,09:32:02,76.7,0.0,24,184082,卖盘
42,09:32:05,76.7,0.0,139,1066299,卖盘
43,09:32:08,76.68,-0.02,34,260704,中性盘
44,09:32:11,76.7,0.02,163,1249735,买盘
45,09:32:14,76.69,-0.01,24,184066,卖盘
46,09:32:17,76.66,-0.03,192,1472369,卖盘
47,09:32:20,76.64,-0.02,358,2744798,中性盘
48,09:32:23,76.64,0.0,104,795017,买盘
49,09:32:26,76.68,0.04,111,850838,买盘
50,09:32:29,76.67,-0.01,69,528821,中性盘
51,09:32:32,76.7,0.03,194,1487539,买盘
52,09:32:34,76.68,-0.02,281,2155006,买盘
53,09:32:38,76.71,0.03,315,2415988,买盘
54,09:32:41,76.7,-0.01,191,1465152,卖盘
55,09:32:44,76.68,-0.02,170,1303907,卖盘
56,09:32:47,76.72,0.04,387,2969717,卖盘
57,09:32:49,76.73,0.01,250,1918554,买盘
58,09:32:53,76.73,0.0,144,1105193,卖盘
59,09:32:56,76.72,-0.01,76,583186,卖盘
60,09:32:59,76.72,0.0,140,1074199,卖盘
61,09:33:02,76.74,0.02,276,2117979,卖盘
62,09:33:05,76.79,0.05,156,1197416,买盘
63,09:33:08,76.79,0.0,260,1996274,买盘
64,09:33:11,76.82,0.03,73,560691,买盘
65,09:33:14,76.85,0.03,378,2904875,买盘
66,09:33:17,76.89,0.04,43,330591,买盘
67,09:33:20,76.9,0.01,53,407527,买盘
68,09:33:21,76.9,0.0,155,1191900,买盘
69,09:33:24,76.94,0.04,93,715602,买盘
70,09:33:28,76.94,0.0,506,3890849,中性盘
71,09:33:32,76.94,0.0,51,392246,买盘
72,09:33:35,76.93,-0.01,98,753914,卖盘
73,09:33:38,76.93,0.0,503,3870023,买盘
74,09:33:41,76.95,0.02,30,230854,卖盘
75,09:33:44,76.97,0.02,68,523289,买盘
76,09:33:47,76.97,0.0,421,3239186,买盘
77,09:33:50,76.97,0.0,189,1454754,买盘
78,09:33:53,76.98,0.01,162,1246978,买盘
79,09:33:56,76.98,0.0,212,1632129,中性盘
80,09:33:59,76.99,0.01,651,5012111,买盘
81,09:34:02,77.0,0.01,804,6190720,买盘
82,09:34:04,77.0,0.0,675,5197072,买盘
83,09:34:08,77.0,0.0,82,631370,买盘
84,09:34:11,76.99,-0.01,177,1362852,卖盘
85,09:34:12,77.0,0.01,190,1462901,买盘
86,09:34:17,76.99,-0.01,186,1432021,卖盘
87,09:34:19,76.98,-0.01,424,3264661,卖盘
88,09:34:23,76.99,0.01,113,869951,买盘
89,09:34:26,76.98,-0.01,277,2132714,卖盘
90,09:34:29,76.95,-0.03,36,277057,卖盘
91,09:34:30,76.96,0.01,410,3155550,买盘
92,09:34:35,76.96,0.0,57,438720,买盘
93,09:34:38,76.95,-0.01,63,484853,卖盘
94,09:34:41,76.95,0.0,189,1454661,买盘
95,09:34:44,76.95,0.0,162,1246289,买盘
96,09:34:45,76.94,-0.01,98,753969,买盘
97,09:34:50,76.93,-0.01,46,353842,中性盘
98,09:34:53,76.92,-0.01,380,2922998,中性盘
99,09:34:56,76.89,-0.03,39,299824,中性盘
100,09:34:58,76.85,-0.04,42,322770,卖盘
101,09:35:02,76.83,-0.02,40,307348,卖盘
102,09:35:04,76.83,0.0,35,268890,买盘
103,09:35:08,76.81,-0.02,71,545449,卖盘
