date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-06-09,75.7,77.22,76.5,75.7,1155491.25,1.2,1.59,72.972,72.618,74.75,1911821.7,2017593.39,2883155.59
2020-06-05,71.4,76.69,75.3,71.23,3063372.25,4.59,6.49,72.266,71.854,75.238,1968125.53,2140297.86,2980752.84
2020-05-29,70.0,71.99,70.71,69.0,1658083.38,0.59,0.84,72.098,71.296,75.712,1778013.73,2189645.94,2969647.53
2020-05-22,72.2,73.6,70.12,70.1,1814761.25,-2.11,-2.92,72.056,71.125,76.486,1965923.8,2450867.2,3010816.16
2020-05-15,73.11,74.8,72.23,72.17,1867400.38,-0.74,-1.01,72.512,71.584,77.216,2073572.35,2712485.18,3012326.8
2020-05-08,73.3,73.98,72.97,72.06,1437010.38,-1.49,-2.0,72.264,72.452,77.881,2123365.08,2887041.64,3052996.93
2020-04-30,70.62,75.3,74.46,70.62,2112813.25,3.96,5.62,71.442,72.927,78.571,2312470.2,3183239.3,3094403.09
2020-04-24,72.89,73.8,70.5,70.3,2597633.75,-1.9,-2.62,70.494,73.719,79.085,2601278.15,3329832.13,3071609.78
2020-04-17,70.45,73.32,72.4,70.0,2353004.0,1.41,1.99,70.194,74.769,79.741,2935810.6,3331432.25,3060683.39
2020-04-10,70.08,72.43,70.99,69.32,2116364.0,2.13,3.09,70.656,75.632,80.366,3351398.0,3612331.45,3067231.6
2020-04-03,68.6,70.47,68.86,67.76,2382536.0,-0.86,-1.23,72.64,76.882,81.211,3650718.2,3748717.8,3056734.61
2020-03-27,66.0,71.29,69.72,66.0,3556853.0,0.72,1.04,74.412,78.621,82.227,4054008.4,3821207.83,3052756.14
2020-03-20,74.5,74.52,69.0,66.32,4270296.0,-5.71,-7.64,76.944,80.127,83.243,4058386.1,3749649.13,3002100.19
2020-03-13,78.91,79.78,74.71,72.1,4430941.0,-6.2,-7.66,79.344,81.847,84.193,3727053.9,3570765.13,2912596.34
2020-03-06,78.32,82.76,80.91,78.32,3612965.0,3.19,4.1,80.608,82.848,84.945,3873264.9,3312168.43,2825585.89
2020-02-28,81.0,81.3,77.72,77.71,4398987.0,-4.66,-5.66,81.124,83.31,85.394,3846717.4,3218952.23,2730302.46
2020-02-21,81.0,83.61,82.38,80.7,3578741.5,1.38,1.7,82.83,84.215,85.86,3588407.25,3005566.88,2533392.33
2020-02-14,80.35,81.86,81.0,79.9,2613635.0,-0.03,-0.04,83.31,84.451,86.156,3440912.15,2813387.43,2460631.61
2020-02-07,76.51,81.97,81.03,76.4,5161996.0,-2.46,-2.95,84.35,84.713,86.599,3414476.35,2789934.53,2454300.9
2020-01-23,88.3,88.7,83.49,82.48,3480227.5,-2.76,-3.2,85.088,85.099,87.164,2751071.95,2522131.75,2317994.01
2020-01-17,85.01,87.82,86.25,84.78,3107436.25,1.47,1.73,85.496,85.54,87.525,2591187.05,2364751.43,2316524.15
2020-01-10,85.92,86.87,84.78,84.5,2841266.0,-1.42,-1.65,85.6,85.832,87.578,2422726.5,2284304.45,2326311.08
2020-01-03,84.76,86.88,86.2,83.92,2481456.0,1.48,1.75,85.592,86.358,87.834,2185862.7,2254551.25,2330637.6
2019-12-27,85.95,85.97,84.72,83.81,1844974.0,-0.81,-0.95,85.076,86.538,87.897,2165392.7,2254427.55,2370425.05
2019-12-20,85.6,86.84,85.53,84.9,2680803.0,-1.24,-1.43,85.11,87.041,87.878,2293191.55,2339003.35,2440384.82
2019-12-13,84.76,86.77,86.77,83.3,2265133.5,2.03,2.4,85.584,87.478,87.903,2138315.8,2241652.69,2435463.1
2019-12-06,83.69,85.0,84.74,82.79,1656947.0,1.12,1.34,86.064,87.505,88.07,2145882.4,2061217.79,2438218.02
2019-11-29,85.1,86.02,83.62,82.69,2379106.0,-1.27,-1.5,87.124,87.861,88.25,2323239.8,2107875.79,2477628.28
2019-11-22,87.88,89.1,84.89,84.68,2483968.25,-3.01,-3.42,88.0,88.484,88.507,2343462.4,2118667.27,2498300.53
2019-11-15,88.5,88.59,87.9,87.53,1906424.25,-1.27,-1.42,88.972,89.229,88.805,2384815.15,2113856.27,2538490.71
2019-11-08,90.35,91.26,89.17,89.17,2302966.5,-0.87,-0.97,89.372,89.509,88.84,2344989.58,2268296.87,2618854.42
2019-11-01,88.39,90.06,90.04,87.67,2543734.0,2.04,2.32,88.946,89.324,88.78,1976553.18,2368317.72,2720603.32
2019-10-25,89.47,90.79,88.0,87.1,2480219.0,-1.75,-1.95,88.598,89.309,88.266,1892511.78,2406723.94,2740177.0
2019-10-18,90.8,92.45,89.75,89.68,2690732.0,-0.15,-0.17,88.968,89.255,87.721,1893872.13,2486422.54,2713322.25
2019-10-11,87.14,90.27,89.9,87.1,1707296.38,2.86,3.29,89.486,88.715,87.184,1842897.38,2541766.29,2750635.24
2019-09-30,87.94,88.19,87.04,87.01,460784.53,-1.26,-1.43,89.646,88.328,86.514,2191604.16,2629273.5,2785712.77
2019-09-27,89.44,89.77,88.3,87.88,2123527.0,-1.55,-1.73,89.702,88.634,86.117,2760082.25,2815218.25,2949926.84
